currency,amount,date_time,operation,operation_id
RUB,100000.0,2021-04-15 17:59:22.999021,add,96276
RUB,-770.0,2021-04-15 17:59:38.854815,buy,28377
RUB,-100.0,2021-04-15 18:26:29.145155,buy,55815
RUB,-770.0,2021-04-15 18:26:43.038096,buy,60319
RUB,-800.0,2021-04-15 18:32:52.360202,buy,29269
RUB,-780.0,2021-04-15 18:35:56.401759,buy,79781
RUB,-780.0,2021-04-15 18:41:28.513581,buy,56414
RUB,-776.0,2021-04-15 18:41:43.073199,buy,68417
RUB,-770.0,2021-04-15 18:52:06.150237,buy,84832
RUB,-760.0,2021-04-15 18:52:21.769760,buy,64351
RUB,-775.0,2021-04-15 19:18:10.202933,buy,72461
RUB,-770.0,2021-04-15 19:18:39.427114,buy,21835
RUB,1000.0,2021-04-15 19:58:04,add,12471
RUB,-7670.0,2021-04-15 20:00:08,buy,81921
RUB,800.0,2021-04-15 20:13:43,subtract,55746
