order_type,ticker,order_price,amount,currency,order_price_total,order_created_at,operation_id,instrument,order_done_at
Buy,USDRUB,77.0,100,RUB,7700.0,2021-04-15 21:23:22,22572,currency,2021-04-15 17:24:00+03:00
Sell,USDRUB,75.0,100,RUB,7500.0,2021-04-15 21:25:34,22572,currency,2021-04-15 17:26:00+03:00
Buy,USDRUB,78.0,100,RUB,7800.0,2021-04-15 21:37:00,42694,currency,2021-04-15 17:37:00+03:00
Sell,USDRUB,75.0,100,RUB,7500.0,2021-04-15 21:43:08,42694,currency,2021-04-15 17:44:00+03:00
Buy,USDRUB,77.0,100,RUB,7700.0,2021-04-15 21:50:59,73179,currency,2021-04-15 17:51:00+03:00
Sell,USDRUB,75.0,100,RUB,7500.0,2021-04-15 21:55:10,73179,currency,2021-04-15 17:56:00+03:00
Buy,USDRUB,80.0,10,RUB,800.0,2021-04-15 22:06:17,49907,currency,2021-04-15T18:07:00+03:00
Sell,USDRUB,70.0,10,RUB,700.0,2021-04-15 22:09:02,49907,currency,2021-04-15T18:10:00+03:00
Buy,USDRUB,80.0,100,RUB,8000.0,2021-04-15 22:15:45,38136,currency,2021-04-15 18:16:00+03:00
Buy,USDRUB,80.0,10,RUB,800.0,2021-04-15 22:26:35,19516,currency,2021-04-15 18:27:00+03:00
Sell,USDRUB,70.0,100,RUB,7000.0,2021-04-15 22:29:37,38136,currency,2021-04-15 18:30:00+03:00
Buy,USDRUB,75.5,10,RUB,755.0,2021-04-16 08:33:01,91208,currency,2021-04-16 09:30:00+03:00
Buy,USDRUB,75.64,10,RUB,756.4,2021-04-16 09:29:46,52945,currency,2021-04-16 09:30:00+03:00
Buy,USDRUB,75.78,10,RUB,757.8,2021-04-16 09:43:39,13435,currency,2021-04-16 09:30:00+03:00
Buy,USDRUB,75.0,10,RUB,750.0,2021-04-16 08:32:44,30558,currency,2021-04-16 08:32:44
Buy,SBER,286.4,1,RUB,2864.0,2021-04-16 09:43:59,13082,stocks,2021-04-16 09:59:00+03:00
Buy,NMTP,7.715,10,RUB,7715.0,2021-04-16 09:37:41,14576,stocks,2021-04-16 09:59:00+03:00
Buy,GMKN,25200.0,1,RUB,25200.0,2021-04-16 09:48:43,17211,stocks,2021-04-16 09:59:00+03:00
Sell,GMKN,25500.0,1,RUB,25500.0,2021-04-16 10:12:57,17211,stocks,2021-04-16 10:12:57
Sell,NMTP,7.65,10,RUB,7650.0,2021-04-16 10:42:59,14576,stocks,2021-04-16 09:59:00+03:00
