order_type,ticker,order_price,amount,currency,order_price_total,order_created_at,operation_id,instrument,order_done_at
Buy,NMTP,7.8,10,RUB,7800.0,1618331390.686862,73483,stocks,1618246800.0
Buy,NMTP,7.8,10,RUB,7800.0,1618331390.686862,73483,stocks,1618246800.0
Buy,NMTP,7.8,10,RUB,7800.0,1618331390.686862,73483,stocks,1618246800.0
Buy,USDRUB,77.0,100,RUB,7700.0,1618332673.89247,34635,currency,1618246800.0
Buy,NMTP,7.8,1,RUB,780.0,1618333230.623591,44458,stocks,1618246800.0
Buy,SBER,285.72,1,RUB,2857.2000000000003,1618333325.35772,70355,stocks,1618246800.0
