currency,price,amount,date_time,operation,operation_id
RUB,10000.0,10000.0,1618323415.377868,add,85601
RUB,7807.8,7800.0,1618323437.738109,subtract,58912
RUB,777.7,770.0,1618324053.81678,subtract,34969
RUB,100000.0,100000.0,1618330978.970621,add,43562
RUB,7807.8,7800.0,1618331007.504098,subtract,62175
RUB,7807.8,7800.0,1618331399.877096,subtract,73483
RUB,7777.0,7700.0,1618332694.700836,subtract,34635
RUB,787.8,780.0,1618333242.241821,subtract,44458
RUB,3142.92,2857.2000000000003,1618333352.688746,subtract,70355
RUB,2420.0,2200.0,1618333408.853558,subtract,22040
