order_type,ticker,order_price,amount,currency,order_price_total,order_created_at,operation_id,instrument,order_done_at
Buy,USDRUB,77.0,10,RUB,770.0,2021-04-15 17:59:30.835187,28377,currency,1618484400.0
Buy,USDRUB,77.0,10,RUB,770.0,2021-04-15 18:26:34.083064,60319,currency,1618486020.0
Buy,USDRUB,80.0,10,RUB,800.0,2021-04-15 18:32:36.904031,29269,currency,2021-04-15 14:33:00+03:00
Buy,USDRUB,78.0,10,RUB,780.0,2021-04-15 18:35:43.647075,79781,currency,2021-04-15 14:36:00+03:00
Buy,USDRUB,78.0,10,RUB,780.0,2021-04-15 18:41:19.953448,56414,currency,2021-04-15 14:42:00+03:00
Buy,USDRUB,77.6,10,RUB,776.0,2021-04-15 18:41:31.692529,68417,currency,2021-04-15 14:42:00+03:00
Buy,USDRUB,77.0,10,RUB,770.0,2021-04-15 18:51:58.000005,84832,currency,2021-04-15 14:52:00+03:00
Buy,USDRUB,77.5,10,RUB,775.0,2021-04-15 19:17:51.412770,72461,currency,2021-04-15 15:18:00+03:00
Buy,USDRUB,76.7,100,RUB,7670.0,2021-04-15 19:59:53,81921,currency,2021-04-15 16:00:00+03:00
Buy,USDRUB,77.0,10,RUB,770.0,2021-04-15 19:18:12.441867,21835,currency,2021-04-15 15:19:00+03:00
