order_type,ticker,order_price,amount,currency,order_price_total,order_created_at,operation_id,instrument,order_done_at
Buy,USDRUB,75.76,100,RUB,7576.000000000001,2021-04-16 15:10:59,39143,currency,2021-04-16 11:11:00+03:00
Buy,FLOT,90.39,10,RUB,9039.0,2021-04-16 15:02:48,49880,stocks,2021-04-16 11:03:00+03:00
Buy,FLOT,91.0,10,RUB,9100.0,2021-04-16 15:09:01,44210,stocks,2021-04-16 11:10:00+03:00
Buy,FLOT,90.45,10,RUB,9045.0,2021-04-16 15:37:56,87850,stocks,2021-04-16 11:38:00+03:00
Sell,FLOT,90.4,10,RUB,9040.0,2021-04-16 15:41:34,44210,stocks,2021-04-16 11:42:00+03:00
